month,artist_name,plays_t,unique_tracks_t,plays_per_track_t,days_active_t,last_play_gap_days_t,last_play_gap_days_t_was_negative,total_scrobbles_month,total_monthly_scrobbles,share_t,first_seen_month,months_since_first_seen,is_first_month,track_novelty_rate_t
2020-03-01 00:00:00+00:00,The 1-800,1,1,1.0,1,6.253460648148148,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,The Lumineers,29,25,1.16,3,0.24998842592592593,0,764,764,0.03795811518324607,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,The Neighbourhood,18,15,1.2,5,1.4090162037037037,0,764,764,0.02356020942408377,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,The Script,1,1,1.0,1,14.283321759259259,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,The Strokes,1,1,1.0,1,1.4013773148148148,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,The Unlikely Candidates,1,1,1.0,1,1.4340162037037036,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,The Weeknd,1,1,1.0,1,14.95068287037037,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,The15th,1,1,1.0,1,6.267349537037037,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Thirty Seconds to Mars,1,1,1.0,1,11.318738425925925,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Thomas Sanders,1,1,1.0,1,9.01943287037037,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Thutmose,1,1,1.0,1,14.360405092592593,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Tokio Myers,3,3,1.0,1,11.923599537037036,0,764,764,0.003926701570680628,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Tom Grennan,1,1,1.0,1,1.418738425925926,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Tom Misch,12,10,1.2,1,10.921516203703703,0,764,764,0.015706806282722512,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Tones and I,2,1,2.0,2,1.3340162037037038,0,764,764,0.002617801047120419,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Troye Sivan,2,2,1.0,1,8.302766203703703,0,764,764,0.002617801047120419,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Us The Duo,1,1,1.0,1,1.3479050925925926,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Valley,1,1,1.0,1,2.215960648148148,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Vance Joy,1,1,1.0,1,1.343738425925926,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Wallows,2,2,1.0,2,8.168043981481482,0,764,764,0.002617801047120419,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Watsky,1,1,1.0,1,8.349293981481482,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Will Heard,1,1,1.0,1,6.2583217592592595,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Will Tulip,1,1,1.0,1,6.262488425925926,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Witt Lowry,1,1,1.0,1,0.05623842592592593,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Wyndham,1,1,1.0,1,6.265266203703704,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,X Ambassadors,2,1,2.0,2,2.2097106481481483,0,764,764,0.002617801047120419,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Y2K,1,1,1.0,1,8.052766203703703,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,alt-J,23,16,1.4375,5,1.398599537037037,0,764,764,0.030104712041884817,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,banana club,1,1,1.0,1,9.028460648148148,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,besphrenz,1,1,1.0,1,6.250682870370371,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,blackbear,1,1,1.0,1,1.4270717592592592,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,chloe moriondo,2,2,1.0,2,9.00693287037037,0,764,764,0.002617801047120419,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,gianni & kyle,18,15,1.2,4,0.08123842592592592,0,764,764,0.02356020942408377,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,girl in red,1,1,1.0,1,9.009016203703704,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,half•alive,9,7,1.2857142857142858,2,4.33818287037037,0,764,764,0.011780104712041885,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,iMarkkeyz,1,1,1.0,1,8.286793981481482,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,lovelytheband,1,1,1.0,1,12.074293981481482,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,mxmtoon,2,2,1.0,2,8.354155092592592,0,764,764,0.002617801047120419,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,spookyghostboy,1,1,1.0,1,14.006238425925925,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,twenty one pilots,43,36,1.1944444444444444,4,1.3291550925925926,0,764,764,0.056282722513089,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,yxngxr1,3,1,3.0,2,1.3354050925925927,0,764,764,0.003926701570680628,2020-03-01 00:00:00+00:00,0,1,1.0
